Product,Module,Surface,Element,Feature Flag Key,Default: MW Internal,Default: Media Owner,Default: Media Agency,Default: Advertiser,Default: Reseller,Default: Business Partner,Dependency,Owner,Description
Planner,Dashboard,Dashboard Page,Dashboard Access,planner.dashboard.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Access to dashboard page
Planner,Dashboard,Widgets,Campaign Overview Widget,planner.dashboard.widgets.campaign_overview,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Campaign status summary widget
Planner,Dashboard,Widgets,Sales Performance Widget,planner.dashboard.widgets.sales_performance,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,Platform,Revenue and sales metrics widget
Planner,Dashboard,Widgets,Inventory Utilization Widget,planner.dashboard.widgets.inventory_utilization,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,Platform,Inventory usage by type/format widget
Planner,Dashboard,Widgets,Creative Status Widget,planner.dashboard.widgets.creative_status,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Platform,Creative approval status widget
Planner,Dashboard,Widgets,Budget Tracker Widget,planner.dashboard.widgets.budget_tracker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Budget vs spend tracking widget
Planner,Dashboard,Widgets,Recent Proposals Widget,planner.dashboard.widgets.recent_proposals,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Latest proposal cards
Planner,Dashboard,Widgets,Current Campaigns Widget,planner.dashboard.widgets.current_campaigns,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Active campaign list
Planner,Dashboard,Widgets,Recent Activity Widget,planner.dashboard.widgets.recent_activity,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Activity feed
Planner,Campaigns,Campaign Listing,Page Access,planner.campaigns.listing.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Access to campaign list page
Planner,Campaigns,Campaign Listing,View Mode Toggle,planner.campaigns.listing.view_toggle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Switch between card and table view
Planner,Campaigns,Campaign Listing,Table View,planner.campaigns.listing.table_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Display campaigns in table format
Planner,Campaigns,Campaign Listing,Card View,planner.campaigns.listing.card_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Display campaigns in card format
Planner,Campaigns,Filters,Filter Panel,planner.campaigns.filters.panel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Campaign filter sidebar/panel
Planner,Campaigns,Filters,Filter by Status,planner.campaigns.filters.status,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by campaign status
Planner,Campaigns,Filters,Status - Draft,planner.campaigns.filters.status.draft,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Draft status option
Planner,Campaigns,Filters,Status - Planned,planner.campaigns.filters.status.planned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Planned status option
Planner,Campaigns,Filters,Status - Reviewing,planner.campaigns.filters.status.reviewing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Reviewing status option
Planner,Campaigns,Filters,Status - Approved,planner.campaigns.filters.status.approved,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Approved status option
Planner,Campaigns,Filters,Status - Active,planner.campaigns.filters.status.active,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Active status option
Planner,Campaigns,Filters,Status - Paused,planner.campaigns.filters.status.paused,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Paused status option
Planner,Campaigns,Filters,Status - Completed,planner.campaigns.filters.status.completed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Completed status option
Planner,Campaigns,Filters,Status - Cancelled,planner.campaigns.filters.status.cancelled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,planner.campaigns.filters.status,Platform,Show Cancelled status option
Planner,Campaigns,Filters,Filter by Date Range,planner.campaigns.filters.date_range,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by start/end dates
Planner,Campaigns,Filters,Filter by Budget Range,planner.campaigns.filters.budget_range,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by budget min/max
Planner,Campaigns,Filters,Filter by Advertiser,planner.campaigns.filters.advertiser,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Filter by advertiser/brand
Planner,Campaigns,Filters,Filter by Country,planner.campaigns.filters.country,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by country
Planner,Campaigns,Filters,Filter by Agency,planner.campaigns.filters.agency,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Platform,Filter by agency
Planner,Campaigns,Filters,Filter by Media Owner,planner.campaigns.filters.media_owner,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by media owner
Planner,Campaigns,Filters,Filter by Execution Path,planner.campaigns.filters.execution_path,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by Quick Launch/Full Workflow
Planner,Campaigns,Filters,Filter by Tags,planner.campaigns.filters.tags,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by custom tags
Planner,Campaigns,Columns,Budget Column,planner.campaigns.columns.budget,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Show budget in campaign list
Planner,Campaigns,Columns,Impressions Column,planner.campaigns.columns.impressions,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Show impressions in campaign list
Planner,Campaigns,Columns,Status Column,planner.campaigns.columns.status,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Show status in campaign list
Planner,Campaigns,Columns,Advertiser Column,planner.campaigns.columns.advertiser,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Show advertiser in campaign list
Planner,Campaigns,Columns,Agency Column,planner.campaigns.columns.agency,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,Platform,Show agency in campaign list
Planner,Campaigns,Columns,Date Range Column,planner.campaigns.columns.date_range,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Show dates in campaign list
Planner,Campaigns,Columns,Progress Column,planner.campaigns.columns.progress,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Show completion % in campaign list
Planner,Campaigns,Actions,Create Campaign Button,planner.campaigns.actions.create,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Create new campaign button
Planner,Campaigns,Actions,Duplicate Campaign,planner.campaigns.actions.duplicate,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Duplicate existing campaign
Planner,Campaigns,Actions,Export Campaigns,planner.campaigns.actions.export,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Export campaign list to CSV/Excel
Planner,Campaigns,Actions,Archive Campaign,planner.campaigns.actions.archive,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Archive old campaigns
Planner,Campaigns,Actions,Delete Campaign,planner.campaigns.actions.delete,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,Platform,Permanently delete campaign
Planner,Campaigns,Actions,Bulk Actions,planner.campaigns.actions.bulk,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Multi-select and bulk operations
Planner,Campaign Creation,Wizard,Wizard Access,planner.campaign_creation.wizard.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Access to campaign creation wizard
Planner,Campaign Creation,Step 1,Campaign Details Step,planner.campaign_creation.step1.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Step 1: Campaign Details
Planner,Campaign Creation,Step 1,Campaign Name Field,planner.campaign_creation.step1.name,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Campaign name input
Planner,Campaign Creation,Step 1,External ID Field,planner.campaign_creation.step1.external_id,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Optional external reference ID
Planner,Campaign Creation,Step 1,Advertiser Selection,planner.campaign_creation.step1.advertiser,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,Platform,Select advertiser/brand
Planner,Campaign Creation,Step 1,Quick Agency Creation,planner.campaign_creation.step1.quick_agency,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,Platform,Create agency on the fly
Planner,Campaign Creation,Step 1,Objective Selection,planner.campaign_creation.step1.objective,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Campaign objective dropdown
Planner,Campaign Creation,Step 1,Date Range Picker,planner.campaign_creation.step1.dates,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Start and end date selection
Planner,Campaign Creation,Step 2,Budget & Location Step,planner.campaign_creation.step2.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Step 2: Budget & Location
Planner,Campaign Creation,Step 2,Budget Input,planner.campaign_creation.step2.budget,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Budget amount input
Planner,Campaign Creation,Step 2,Currency Selection,planner.campaign_creation.step2.currency,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Currency code dropdown
Planner,Campaign Creation,Step 2,Country Selection,planner.campaign_creation.step2.country,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Target country selection
Planner,Campaign Creation,Step 2,Region Selection,planner.campaign_creation.step2.region,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Target region/state selection
Planner,Campaign Creation,Step 2,City Selection,planner.campaign_creation.step2.city,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Target city selection
Planner,Campaign Creation,Step 2,Map View,planner.campaign_creation.step2.map,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Interactive map for location selection
Planner,Campaign Creation,Step 2,Draw Geofence,planner.campaign_creation.step2.geofence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Draw custom geofence on map
Planner,Campaign Creation,Step 3,Targeting Step,planner.campaign_creation.step3.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Step 3: Targeting
Planner,Campaign Creation,Step 3,Venue Type Selection,planner.campaign_creation.step3.venue_type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by venue types (mall retail etc)
Planner,Campaign Creation,Step 3,Inventory Type Selection,planner.campaign_creation.step3.inventory_type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Filter by inventory types (digital classic etc)
Planner,Campaign Creation,Step 3,Demographic Targeting,planner.campaign_creation.step3.demographics,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Age gender income targeting
Planner,Campaign Creation,Step 3,POI Targeting,planner.campaign_creation.step3.poi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Points of interest targeting
Planner,Campaign Creation,Step 3,Audience Insights,planner.campaign_creation.step3.audience_insights,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,AI audience visualization
Planner,Campaign Creation,Step 4,Media Selection Step,planner.campaign_creation.step4.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Step 4: Media Selection
Planner,Campaign Creation,Step 4,Inventory List View,planner.campaign_creation.step4.list_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,List of available inventory
Planner,Campaign Creation,Step 4,Inventory Map View,planner.campaign_creation.step4.map_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Map view of inventory
Planner,Campaign Creation,Step 4,Inventory Side Panel,planner.campaign_creation.step4.side_panel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Inventory detail panel
Planner,Campaign Creation,Step 4,Performance Tab,planner.campaign_creation.step4.performance_tab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Demographics and metrics in side panel
Planner,Campaign Creation,Step 4,Add to Campaign,planner.campaign_creation.step4.add_inventory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Add inventory to campaign button
Planner,Campaign Creation,Step 4,Remove from Campaign,planner.campaign_creation.step4.remove_inventory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Remove inventory from campaign
Planner,Campaign Creation,Step 5,Optimization Step,planner.campaign_creation.step5.access,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Step 5: Optimization
Planner,Campaign Creation,Step 5,Schedule Grid,planner.campaign_creation.step5.schedule_grid,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,24x7 time slot selection grid
Planner,Campaign Creation,Step 5,Preset Patterns,planner.campaign_creation.step5.presets,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Platform,Commuter Nightlife etc presets
